Date,Club,Ball Speed,Club Speed (Estimated),Smash Factor (Estimated),Carry,Total,Launch Angle,Launch Direction,Spin Rate,Apex Height,Apex Time,Descent Angle,Shot Type
2026-06-08T11:00:00,9I,105.2,77.3,1.36,133.6,137.3,21.6,2.4,7568,111,6.8,50.2,Straight
2026-06-08T11:01:00,9I,105,76.7,1.37,132.8,138.3,20,-3,7329,126,7.2,52.7,Straight
2026-06-08T11:02:00,9I,103,72.9,1.41,134.2,143.8,21.4,-1.1,7705,117,6.9,51.2,Draw
2026-06-08T11:00:00,PW,98.7,71.6,1.38,122,130.6,24.5,2,8006,120,7,54.5,Straight
2026-06-08T11:01:00,PW,98.6,74.6,1.32,125.7,132.2,23.4,0,8623,108,6.7,55.1,Draw
2026-06-08T11:02:00,PW,98.6,73.3,1.35,130,135.9,22.5,-1.8,8347,124,7.1,54.5,Straight
2026-06-08T11:03:00,PW,98.3,73.4,1.34,133.1,135.2,23.5,-0.5,8145,126,7.2,52.7,Straight
2026-06-08T11:04:00,PW,96.7,72.4,1.34,121.2,123.2,23.4,1.1,8749,128,7.2,52.8,Straight
2026-06-08T11:05:00,PW,98.3,72,1.37,133.4,137.5,23,1.1,9006,128,7.2,54.8,Straight
2026-06-08T11:00:00,PW,101.1,71.1,1.42,122,126.9,23.2,-0.4,8569,121,7,55.6,Straight
2026-06-08T11:01:00,PW,94.5,69.3,1.36,123.7,132.2,22.7,0.7,8308,130,7.3,51.8,Straight
2026-06-08T11:02:00,PW,98.6,73.4,1.34,133.3,139.7,24.3,1.5,8475,116,6.9,51.7,Straight
2026-06-08T11:00:00,52,92.3,68.4,1.35,111.2,116.8,25.7,-1,8383,135,7.4,56.1,Draw
2026-06-08T11:01:00,52,89.4,69.2,1.29,109,115.7,24.8,3.6,9459,129,7.2,53.8,Draw
2026-06-08T11:02:00,52,90.6,70.3,1.29,106.6,112.1,25.3,-0.3,9274,129,7.2,56.4,Straight
2026-06-08T11:03:00,52,87.7,69.4,1.26,112.7,119.9,26,3,8801,133,7.3,55.5,Straight
2026-06-08T11:04:00,52,89.8,66.1,1.36,118.7,125.6,25.8,-0.1,8312,134,7.4,50.2,Draw
2026-06-08T11:05:00,52,89.5,68.7,1.30,108,114,25.4,3.1,8782,135,7.4,56.3,Draw
2026-06-08T11:00:00,52,90.5,67,1.35,109.7,115.6,25.3,-0.7,9003,138,7.5,52,Draw
2026-06-08T11:01:00,52,87.2,66.5,1.31,105.5,111,25.3,0.7,9136,121,7,56.1,Straight
2026-06-08T11:00:00,56,82.3,65.7,1.25,93.3,98.2,28.7,1.1,9453,119,7,55,Straight
2026-06-08T11:01:00,56,80.8,63.9,1.26,94.5,103.1,24.9,-1.2,9542,125,7.1,55.6,Straight
2026-06-08T11:02:00,56,82.1,63.6,1.29,94.1,101.8,27.2,-0.2,10386,138,7.5,54.2,Straight
2026-06-08T11:03:00,56,84.7,62.8,1.35,92.9,97.9,26.4,1.9,9420,134,7.4,60.2,Straight
2026-06-08T11:04:00,56,82.5,64.9,1.27,91.1,99,27.4,0.3,9474,114,6.9,59.8,Straight
2026-06-08T11:05:00,56,79.8,64.5,1.24,86.9,94.9,26.7,-0.7,9770,136,7.4,54.5,Straight
2026-06-08T11:00:00,56,83.4,63.6,1.31,96.2,102.7,28,2.6,10146,144,7.6,55.8,Straight
2026-06-08T11:00:00,60,72.2,57.9,1.25,71.3,73.2,30.1,2.2,10465,146,7.7,58.3,Straight
2026-06-08T11:01:00,60,73.8,57.8,1.28,77,79.7,29.4,0.7,10568,143,7.6,58,Straight
2026-06-08T11:02:00,60,71.1,58.4,1.22,73.9,82.7,30.3,-3.5,10402,129,7.2,59.5,Draw
2026-06-08T11:03:00,60,74.7,57.8,1.29,70.6,76.4,31.4,-0.5,11004,130,7.3,62.3,Straight
2026-06-08T11:04:00,60,73.7,58,1.27,69.6,80,31.6,0.7,10595,140,7.5,56.4,Straight
2026-06-08T11:05:00,60,73,55,1.33,66.3,72.6,30.6,-2.7,10167,129,7.2,61.6,Draw
2026-06-08T11:00:00,60,71.6,58,1.23,75.1,82.8,29.1,-1.6,9551,132,7.3,59,Straight
