Date,Club,Ball Speed,Club Speed,Smash Factor,Carry,Total,Launch Angle,Launch Direction,Back Spin,Side Spin,Peak Height,Descent Angle,Angle of Attack,Club Path,Face Angle
2026-06-08T11:02:00,7I,114.8,80.8,1.42,173.6,185.4,18.9,-1.2,5759,-523,109,47.7,-5.8,2.2,1.1
2026-06-08T11:03:00,7I,110.3,80.1,1.38,164.1,169.1,15.2,2,6156,-298,111,45.6,-3.5,0.8,1.8
2026-06-08T11:04:00,7I,112.2,82.2,1.36,170.8,176.1,17,-0.2,5823,-293,119,40.7,-4.1,3.9,-0.9
2026-06-08T11:05:00,7I,113.3,80.9,1.40,169.9,177,17.6,-0.1,6525,598,109,45.7,-5.1,1.8,0.5
2026-06-08T11:00:00,7I,114.3,79.4,1.44,174.4,186.3,16.7,-2.5,5943,-165,105,47.1,-5.3,1.9,0.6
2026-06-08T11:01:00,7I,115.9,83.3,1.39,163.3,169.8,17.2,1.3,5620,-46,119,49.8,-2.7,1.6,0.4
2026-06-08T11:02:00,7I,114.3,80.4,1.42,173.3,177.8,17.8,-0.2,5490,-553,113,48.5,-2.3,2.4,-2
2026-06-08T11:03:00,7I,111.1,80.3,1.38,165.5,172.7,15.8,-1.1,5922,83,119,49.8,-3,1,-1.5
2026-06-08T11:04:00,7I,113.1,81.5,1.39,162.9,170.3,18.5,2.4,6397,-408,117,46.7,-4,0,2
2026-06-08T11:05:00,7I,113.4,82.1,1.38,172.4,177.7,17.7,-0.1,5855,-11,116,49.1,-2.7,0.1,-0.9
2026-06-08T11:00:00,7I,112.5,79.3,1.42,169,174.7,16.4,-0.6,6184,-755,120,46.6,-3.2,1.4,2.5
2026-06-08T11:00:00,8I,108.4,79,1.37,152,158.7,17.5,-4.2,6092,-365,121,48.4,-2.9,1.1,-0.3
2026-06-08T11:01:00,8I,107.6,78.3,1.37,150,156.6,17.6,0.5,5867,-47,105,50.2,-3.2,1,0.2
2026-06-08T11:02:00,8I,108,78.2,1.38,162.2,169.1,20.2,-1.2,7091,-213,115,46.5,-4.5,0,0.9
2026-06-08T11:03:00,8I,110.3,76.7,1.44,146,154,18.4,-1.7,7099,-392,97,48,-4,1.9,0.6
2026-06-08T11:04:00,8I,107.9,75.4,1.43,147.8,151.1,20.7,1.3,7024,-531,113,47.9,-5,1.8,0
2026-06-08T11:05:00,8I,108.7,77.9,1.40,147.2,150,19.8,-2.5,6724,-400,128,50.1,-8,0.2,1.4
2026-06-08T11:00:00,8I,107.6,77.7,1.39,155.1,158.2,18.6,-1.4,6793,-347,122,47.4,-4,0.4,1.1
2026-06-08T11:01:00,8I,105.6,79,1.34,147.6,156,19.1,-1.2,6856,-619,114,49.2,-4,1.4,1.7
2026-06-08T11:02:00,8I,108.3,79.3,1.37,144.7,153.2,19.6,-2.6,6931,-452,110,49.5,-5.7,3.1,-0.2
2026-06-08T11:03:00,8I,107.9,78.4,1.38,160.2,164.5,19.4,1.3,6464,-657,111,51.6,-3.1,3.1,-1
2026-06-08T11:00:00,9I,102,74.8,1.36,141.9,146,23.5,-2.9,7452,-446,118,50.7,-3.5,0.2,0.7
2026-06-08T11:01:00,9I,103.7,74.7,1.39,141.7,148.1,20.4,2.5,7640,-803,147,49.7,-4.4,1.7,-1.3
2026-06-08T11:02:00,9I,105.9,77.1,1.37,133.9,138.6,20.8,-0.1,7542,102,118,52,-3.3,2,1.2
2026-06-08T11:03:00,9I,105.7,74.9,1.41,133.3,141.1,20.5,0.4,7465,-588,116,51.4,-3.3,2.9,0.4
2026-06-08T11:04:00,9I,104.3,74.5,1.40,139.8,146,21.7,0.5,7175,-502,113,51.7,-4.6,2.1,0.7
2026-06-08T11:05:00,9I,102.1,73.5,1.39,138.7,146.3,21.8,-1.1,7155,19,126,47.6,-3.4,2.5,-0.9
2026-06-08T11:00:00,9I,105.2,77.3,1.36,133.6,137.3,21.6,2.4,7568,10,111,50.2,-3.8,0.2,1.3
2026-06-08T11:01:00,9I,105,76.7,1.37,132.8,138.3,20,-3,7329,60,126,52.7,-5,-0.7,1.2
2026-06-08T11:02:00,9I,103,72.9,1.41,134.2,143.8,21.4,-1.1,7705,-316,117,51.2,-4.9,2.2,-0.6
2026-06-08T11:00:00,PW,98.7,71.6,1.38,122,130.6,24.5,2,8006,-105,120,54.5,-3.5,0.8,2
2026-06-08T11:01:00,PW,98.6,74.6,1.32,125.7,132.2,23.4,0,8623,-504,108,55.1,-4,1.5,-1.1
2026-06-08T11:02:00,PW,98.6,73.3,1.35,130,135.9,22.5,-1.8,8347,51,124,54.5,-4.8,0.7,1.6
2026-06-08T11:03:00,PW,98.3,73.4,1.34,133.1,135.2,23.5,-0.5,8145,-506,126,52.7,-3.2,2.1,1.5
2026-06-08T11:04:00,PW,96.7,72.4,1.34,121.2,123.2,23.4,1.1,8749,-298,128,52.8,-3.1,1.7,0.9
2026-06-08T11:05:00,PW,98.3,72,1.37,133.4,137.5,23,1.1,9006,-38,128,54.8,-4.4,-0.6,0.5
2026-06-08T11:00:00,PW,101.1,71.1,1.42,122,126.9,23.2,-0.4,8569,-424,121,55.6,-2.6,3.4,2.8
2026-06-08T11:01:00,PW,94.5,69.3,1.36,123.7,132.2,22.7,0.7,8308,-286,130,51.8,-5.6,-1.1,0.6
2026-06-08T11:02:00,PW,98.6,73.4,1.34,133.3,139.7,24.3,1.5,8475,-468,116,51.7,-4.5,0.6,0.9
2026-06-08T11:00:00,52,92.3,68.4,1.35,111.2,116.8,25.7,-1,8383,25,135,56.1,-3.2,1.4,-0.7
2026-06-08T11:01:00,52,89.4,69.2,1.29,109,115.7,24.8,3.6,9459,-405,129,53.8,-4.1,1.6,-0.4
2026-06-08T11:02:00,52,90.6,70.3,1.29,106.6,112.1,25.3,-0.3,9274,-325,129,56.4,-5.8,2.2,0.8
2026-06-08T11:03:00,52,87.7,69.4,1.26,112.7,119.9,26,3,8801,-617,133,55.5,-1.9,0.2,0.5
2026-06-08T11:04:00,52,89.8,66.1,1.36,118.7,125.6,25.8,-0.1,8312,-899,134,50.2,-4,3.2,0.4
2026-06-08T11:05:00,52,89.5,68.7,1.30,108,114,25.4,3.1,8782,-832,135,56.3,-5.1,2.8,0
2026-06-08T11:00:00,52,90.5,67,1.35,109.7,115.6,25.3,-0.7,9003,-214,138,52,-4.7,3.4,-1.7
2026-06-08T11:01:00,52,87.2,66.5,1.31,105.5,111,25.3,0.7,9136,-845,121,56.1,-2.8,1.8,0.9
2026-06-08T11:00:00,56,82.3,65.7,1.25,93.3,98.2,28.7,1.1,9453,-472,119,55,-3.7,1.6,-0.2
2026-06-08T11:01:00,56,80.8,63.9,1.26,94.5,103.1,24.9,-1.2,9542,-200,125,55.6,-4.5,2.1,0.4
2026-06-08T11:02:00,56,82.1,63.6,1.29,94.1,101.8,27.2,-0.2,10386,-793,138,54.2,-4.2,1.3,0.8
2026-06-08T11:03:00,56,84.7,62.8,1.35,92.9,97.9,26.4,1.9,9420,-312,134,60.2,-4.3,1,0.9
2026-06-08T11:04:00,56,82.5,64.9,1.27,91.1,99,27.4,0.3,9474,-550,114,59.8,-4.7,-1.2,0.2
2026-06-08T11:05:00,56,79.8,64.5,1.24,86.9,94.9,26.7,-0.7,9770,-206,136,54.5,-6,1,0.5
2026-06-08T11:00:00,56,83.4,63.6,1.31,96.2,102.7,28,2.6,10146,-454,144,55.8,-5.2,0.4,-0.9
2026-06-08T11:00:00,60,72.2,57.9,1.25,71.3,73.2,30.1,2.2,10465,492,146,58.3,-4.6,1.3,0.8
2026-06-08T11:01:00,60,73.8,57.8,1.28,77,79.7,29.4,0.7,10568,-319,143,58,-3.8,2,1.8
2026-06-08T11:02:00,60,71.1,58.4,1.22,73.9,82.7,30.3,-3.5,10402,-80,129,59.5,-3.3,3.1,0.5
2026-06-08T11:03:00,60,74.7,57.8,1.29,70.6,76.4,31.4,-0.5,11004,-555,130,62.3,-3.5,2.1,1.9
2026-06-08T11:04:00,60,73.7,58,1.27,69.6,80,31.6,0.7,10595,-226,140,56.4,-3.5,2.6,1.7
2026-06-08T11:05:00,60,73,55,1.33,66.3,72.6,30.6,-2.7,10167,-564,129,61.6,-3.2,0.3,-1.9
2026-06-08T11:00:00,60,71.6,58,1.23,75.1,82.8,29.1,-1.6,9551,-232,132,59,-2.3,2.1,1.7
